Date : 2026-04-04 15:18:51
Directory : c:\Driza\DrizaSharp
Total : 56 files,  -314 codes, 388 comments, -118 blanks, all -44 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\Driza\DrizaSharp\Compiler\Context\Loader.cs                                                | C#       |          3 |          1 |          1 |          5 |
| c:\Driza\DrizaSharp\Compiler\Context\Loader\03 Rules.cs                                       | C#       |        -17 |         -6 |         -6 |        -29 |
| c:\Driza\DrizaSharp\Compiler\Context\Loader\03 Ruleset.cs                                     | C#       |         21 |          6 |          5 |         32 |
| c:\Driza\DrizaSharp\Compiler\Default\Bindings.cs                                              | C#       |         -1 |          0 |          0 |         -1 |
| c:\Driza\DrizaSharp\Compiler\Default\Lexer\Bindings.cs                                        | C#       |         19 |          2 |          3 |         24 |
| c:\Driza\DrizaSharp\Compiler\Default\Lexer\Shared\TokenTypes.cs                               | C#       |        -20 |         -4 |         -6 |        -30 |
| c:\Driza\DrizaSharp\Compiler\Default\Lowerer\Bindings.cs                                      | C#       |        -42 |         -2 |         -9 |        -53 |
| c:\Driza\DrizaSharp\Compiler\Default\Lowerer\Instructions\Logic.cs                            | C#       |       -178 |        -12 |        -32 |       -222 |
| c:\Driza\DrizaSharp\Compiler\Default\Lowerer\Instructions\Virtual.cs                          | C#       |        -45 |         -2 |        -10 |        -57 |
| c:\Driza\DrizaSharp\Compiler\Default\Parser\Bindings.cs                                       | C#       |          0 |          0 |         -2 |         -2 |
| c:\Driza\DrizaSharp\Compiler\Default\Parser\Patterns\Groups.cs                                | C#       |         57 |          4 |          6 |         67 |
| c:\Driza\DrizaSharp\Compiler\Default\Parser\Patterns\Shortcuts.cs                             | C#       |          9 |          0 |          2 |         11 |
| c:\Driza\DrizaSharp\Compiler\Default\Parser\Patterns\TokenTables.cs                           | C#       |         52 |          1 |          9 |         62 |
| c:\Driza\DrizaSharp\Compiler\Default\Parser\Patterns\Tokens.cs                                | C#       |         36 |          4 |          6 |         46 |
| c:\Driza\DrizaSharp\Compiler\Default\Parser\Realms.cs                                         | C#       |          7 |          0 |          2 |          9 |
| c:\Driza\DrizaSharp\Compiler\Default\Parser\Rules.cs                                          | C#       |        -23 |          0 |        -18 |        -41 |
| c:\Driza\DrizaSharp\Compiler\Default\Parser\Shared\Patterns.cs                                | C#       |       -138 |        -14 |        -21 |       -173 |
| c:\Driza\DrizaSharp\Compiler\Default\Parser\Shared\Realms.cs                                  | C#       |         -8 |         -2 |         -3 |        -13 |
| c:\Driza\DrizaSharp\Compiler\Default\Parser\Shared\Tags.cs                                    | C#       |         -7 |          0 |         -2 |         -9 |
| c:\Driza\DrizaSharp\Compiler\Default\Parser\Tags.cs                                           | C#       |          7 |          0 |          2 |          9 |
| c:\Driza\DrizaSharp\Compiler\Diagnostics\Config.cs                                            | C#       |        -23 |         29 |         -4 |          2 |
| c:\Driza\DrizaSharp\Compiler\Diagnostics\Diagnostics.cs                                       | C#       |          6 |         -1 |         -3 |          2 |
| c:\Driza\DrizaSharp\Compiler\Diagnostics\Render.cs                                            | C#       |       -415 |        494 |        -92 |        -13 |
| c:\Driza\DrizaSharp\Compiler\Models\TASI.cs                                                   | C#       |         42 |          0 |          8 |         50 |
| c:\Driza\DrizaSharp\Compiler\Pipeline\01 Loader\01 Restore.cs                                 | C#       |          5 |          1 |          0 |          6 |
| c:\Driza\DrizaSharp\Compiler\Pipeline\01 Loader\02 Load.cs                                    | C#       |         -1 |          0 |          0 |         -1 |
| c:\Driza\DrizaSharp\Compiler\Pipeline\01 Loader\Process.cs                                    | C#       |          1 |          0 |          0 |          1 |
| c:\Driza\DrizaSharp\Compiler\Pipeline\02 Lexer\01 Lex\Phase.cs                                | C#       |         -1 |          0 |          0 |         -1 |
| c:\Driza\DrizaSharp\Compiler\Pipeline\02 Lexer\Process.cs                                     | C#       |         -1 |          0 |          0 |         -1 |
| c:\Driza\DrizaSharp\Compiler\Pipeline\03 Parser\04 Emit\Context.cs                            | C#       |          7 |          0 |          2 |          9 |
| c:\Driza\DrizaSharp\Compiler\Pipeline\03 Parser\Context\Mutate.cs                             | C#       |          0 |        -76 |          0 |        -76 |
| c:\Driza\DrizaSharp\Compiler\Pipeline\03 Parser\Process.cs                                    | C#       |          1 |          0 |          0 |          1 |
| c:\Driza\DrizaSharp\Compiler\Pipeline\03 Parser\Process\Mutate.cs                             | C#       |          0 |        -48 |          0 |        -48 |
| c:\Driza\DrizaSharp\Compiler\Pipeline\04 Lowerer\01 Lower\Context.cs                          | C#       |         13 |          0 |          2 |         15 |
| c:\Driza\DrizaSharp\Compiler\Pipeline\04 Lowerer\01 Lower\Instructions\Context.cs             | C#       |         76 |          2 |          9 |         87 |
| c:\Driza\DrizaSharp\Compiler\Pipeline\04 Lowerer\01 Lower\Instructions\InstrList\Constants.cs | C#       |         57 |          5 |          6 |         68 |
| c:\Driza\DrizaSharp\Compiler\Pipeline\04 Lowerer\01 Lower\Instructions\InstrList\Flow.cs      | C#       |         51 |          4 |          9 |         64 |
| c:\Driza\DrizaSharp\Compiler\Pipeline\04 Lowerer\01 Lower\Instructions\InstrList\Math.cs      | C#       |         59 |          7 |          7 |         73 |
| c:\Driza\DrizaSharp\Compiler\Pipeline\04 Lowerer\01 Lower\Instructions\InstrList\Memory.cs    | C#       |         41 |          3 |          7 |         51 |
| c:\Driza\DrizaSharp\Compiler\Pipeline\04 Lowerer\01 Lower\Instructions\InstrList\Special.cs   | C#       |         56 |          6 |          9 |         71 |
| c:\Driza\DrizaSharp\Compiler\Pipeline\04 Lowerer\01 Lower\Instructions\Step.cs                | C#       |        118 |          7 |         10 |        135 |
| c:\Driza\DrizaSharp\Compiler\Pipeline\04 Lowerer\01 Lower\Phase.cs                            | C#       |         23 |          1 |          4 |         28 |
| c:\Driza\DrizaSharp\Compiler\Pipeline\04 Lowerer\01 Lower\Virtual\Step.cs                     | C#       |          8 |          0 |          3 |         11 |
| c:\Driza\DrizaSharp\Compiler\Pipeline\04 Lowerer\Context\Logic.cs                             | C#       |        -22 |          0 |         -3 |        -25 |
| c:\Driza\DrizaSharp\Compiler\Pipeline\04 Lowerer\Context\Virtual.cs                           | C#       |        -18 |         -1 |         -3 |        -22 |
| c:\Driza\DrizaSharp\Compiler\Pipeline\04 Lowerer\Lowerer.cs                                   | C#       |        -35 |         -2 |         -6 |        -43 |
| c:\Driza\DrizaSharp\Compiler\Pipeline\04 Lowerer\LowererBindings.cs                           | C#       |        -10 |          0 |         -2 |        -12 |
| c:\Driza\DrizaSharp\Compiler\Pipeline\04 Lowerer\LowererContext.cs                            | C#       |        -49 |         -3 |         -8 |        -60 |
| c:\Driza\DrizaSharp\Compiler\Pipeline\04 Lowerer\LowererProcess.cs                            | C#       |        -81 |         -8 |        -13 |       -102 |
| c:\Driza\DrizaSharp\Compiler\Pipeline\04 Lowerer\Process.cs                                   | C#       |         24 |          3 |          6 |         33 |
| c:\Driza\DrizaSharp\Compiler\Project.cs                                                       | C#       |          7 |          0 |          0 |          7 |
| c:\Driza\DrizaSharp\Compiler\Rules\Bindings.cs                                                | C#       |          4 |          0 |          0 |          4 |
| c:\Driza\DrizaSharp\Compiler\Rules\Context.cs                                                 | C#       |         -2 |          0 |          0 |         -2 |
| c:\Driza\DrizaSharp\Compiler\Rules\Context\Lexer.cs                                           | C#       |         -1 |          0 |         -1 |         -2 |
| c:\Driza\DrizaSharp\Compiler\Rules\Context\Parser.cs                                          | C#       |         -1 |          0 |         -1 |         -2 |
| Total                                                                                         |          |       -314 |        388 |       -118 |        -44 |
+-----------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
